diaSemana,horaInici,horaFi,materia,professorId,grupId,aulaId
Dilluns,8:00,9:00,,MCY,1rA,
Dilluns,8:00,9:00,,CM,1rB,
Dilluns,8:00,9:00,,JC,1rC,
Dilluns,8:00,9:00,,AF,2nA,
Dilluns,8:00,9:00,,LA,2nB,
Dilluns,8:00,9:00,,MS,2nC,
Dilluns,8:00,9:00,,LM,3rA,
Dilluns,8:00,9:00,,F,3rB,
Dilluns,8:00,9:00,,R,3rC,
Dilluns,8:00,9:00,,AP,3rD,
Dilluns,8:00,9:00,,IZ,4tA,
Dilluns,8:00,9:00,,IM,4tB,
Dilluns,8:00,9:00,,BR,4tC,
Dilluns,9:00,10:00,,AF,1rA,
Dilluns,9:00,10:00,,LA,1rB,
Dilluns,9:00,10:00,,R,1rC,
Dilluns,9:00,10:00,,AN,2nA,
Dilluns,9:00,10:00,,JM,2nB,
Dilluns,9:00,10:00,,MS,2nC,
Dilluns,9:00,10:00,,NM,3rA,
Dilluns,9:00,10:00,,BR,3rB,
Dilluns,9:00,10:00,,IZ,3rC,
Dilluns,9:00,10:00,,MV,3rD,
Dilluns,9:00,10:00,,L,4tA,
Dilluns,9:00,10:00,,MÇ,4tB,
Dilluns,9:00,10:00,,AP,4tC,
Dilluns,10:00,11:00,,AF,1rA,
Dilluns,10:00,11:00,,LA,1rB,
Dilluns,10:00,11:00,,R,1rC,
Dilluns,10:00,11:00,,AN,2nA,
Dilluns,10:00,11:00,,JM,2nB,
Dilluns,10:00,11:00,,MS,2nC,
Dilluns,10:00,11:00,,NM,3rA,
Dilluns,10:00,11:00,,BR,3rB,
Dilluns,10:00,11:00,,IZ,3rC,
Dilluns,10:00,11:00,,MV,3rD,
Dilluns,10:00,11:00,,L,4tA,
Dilluns,10:00,11:00,,MÇ,4tB,
Dilluns,10:00,11:00,,AP,4tC,
Dilluns,11:00,11:30,,JC,1rA,
Dilluns,11:30,12:30,,S,1rA,
Dilluns,11:30,12:30,,CM,1rB,
Dilluns,11:30,12:30,,PF,1rC,
Dilluns,11:30,12:30,,F,2nA,
Dilluns,11:30,12:30,,JM,2nB,
Dilluns,11:30,12:30,,LA,2nC,
Dilluns,11:30,12:30,,JC,3rA,
Dilluns,11:30,12:30,,R,3rB,
Dilluns,11:30,12:30,,LM,3rC,
Dilluns,11:30,12:30,,MV,3rD,
Dilluns,11:30,12:30,,DP,4tA,
Dilluns,11:30,12:30,,IZ,4tB,
Dilluns,11:30,12:30,,MÇ,4tC,
Dilluns,12:30,13:30,,CM,1rA,
Dilluns,12:30,13:30,,LA,1rB,
Dilluns,12:30,13:30,,MCY,1rC,
Dilluns,12:30,13:30,,AN,2nA,
Dilluns,12:30,13:30,,JM,2nB,
Dilluns,12:30,13:30,,NM,2nC,
Dilluns,12:30,13:30,,L,3rA,
Dilluns,12:30,13:30,,A,3rB,
Dilluns,12:30,13:30,,MA,3rC,
Dilluns,12:30,13:30,,AP,3rD,
Dilluns,12:30,13:30,,JC,4tA,
Dilluns,12:30,13:30,,DP,4tB,
Dilluns,12:30,13:30,,LM,4tC,
Dilluns,13:30,14:30,,R,1rA,
Dilluns,13:30,14:30,,JT,1rB,
Dilluns,13:30,14:30,,S,1rC,
Dilluns,13:30,14:30,,LA,2nA,
Dilluns,13:30,14:30,,JM,2nB,
Dilluns,13:30,14:30,,F,2nC,
Dilluns,13:30,14:30,,JC,3rA,
Dilluns,13:30,14:30,,MV,3rB,
Dilluns,13:30,14:30,,MS,3rC,
Dilluns,13:30,14:30,,PF,3rD,
Dilluns,13:30,14:30,,AF,4tA,
Dilluns,13:30,14:30,,AN,4tB,
Dilluns,13:30,14:30,,NM,4tC,
Dilluns,8:00,9:00,,MCY,1rA,
Dilluns,8:00,9:00,,LA,1rB,
Dilluns,8:00,9:00,,JC,1rC,
Dilluns,8:00,9:00,,AF,2nA,
Dilluns,8:00,9:00,,CM,2nB,
Dilluns,8:00,9:00,,MS,2nC,
Dilluns,8:00,9:00,,IZ,3rA,
Dilluns,8:00,9:00,,BR,3rB,
Dilluns,8:00,9:00,,R,3rC,
Dilluns,8:00,9:00,,AP,3rD,
Dilluns,8:00,9:00,,LM,4tA,
Dilluns,8:00,9:00,,IM,4tB,
Dilluns,8:00,9:00,,F,4tC,
Dilluns,9:00,10:00,,AF,1rA,
Dilluns,9:00,10:00,,LA,1rB,
Dilluns,9:00,10:00,,R,1rC,
Dilluns,9:00,10:00,,AN,2nA,
Dilluns,9:00,10:00,,JM,2nB,
Dilluns,9:00,10:00,,MS,2nC,
Dilluns,9:00,10:00,,NM,3rA,
Dilluns,9:00,10:00,,BR,3rB,
Dilluns,9:00,10:00,,IZ,3rC,
Dilluns,9:00,10:00,,MV,3rD,
Dilluns,9:00,10:00,,MJ,4tA,
Dilluns,9:00,10:00,,MÇ,4tB,
Dilluns,9:00,10:00,,AP,4tC,
Dilluns,10:00,11:00,,AF,1rA,
Dilluns,10:00,11:00,,LA,1rB,
Dilluns,10:00,11:00,,R,1rC,
Dilluns,10:00,11:00,,AN,2nA,
Dilluns,10:00,11:00,,JM,2nB,
Dilluns,10:00,11:00,,MS,2nC,
Dilluns,10:00,11:00,,NM,3rA,
Dilluns,10:00,11:00,,BR,3rB,
Dilluns,10:00,11:00,,IZ,3rC,
Dilluns,10:00,11:00,,MV,3rD,
Dilluns,10:00,11:00,,MJ,4tA,
Dilluns,10:00,11:00,,MÇ,4tB,
Dilluns,10:00,11:00,,AP,4tC,
Dilluns,11:30,12:30,,S,1rA,
Dilluns,11:30,12:30,,CM,1rB,
Dilluns,11:30,12:30,,LA,1rC,
Dilluns,11:30,12:30,,F,2nA,
Dilluns,11:30,12:30,,JM,2nB,
Dilluns,11:30,12:30,,PF,2nC,
Dilluns,11:30,12:30,,JC,3rA,
Dilluns,11:30,12:30,,R,3rB,
Dilluns,11:30,12:30,,IZ,3rC,
Dilluns,11:30,12:30,,MV,3rD,
Dilluns,11:30,12:30,,DP,4tA,
Dilluns,11:30,12:30,,LM,4tB,
Dilluns,11:30,12:30,,MÇ,4tC,
Dilluns,12:30,13:30,,IZ,1rA,
Dilluns,12:30,13:30,,LA,1rB,
Dilluns,12:30,13:30,,MCY,1rC,
Dilluns,12:30,13:30,,AN,2nA,
Dilluns,12:30,13:30,,JM,2nB,
Dilluns,12:30,13:30,,NM,2nC,
Dilluns,12:30,13:30,,MJ,3rA,
Dilluns,12:30,13:30,,A,3rB,
Dilluns,12:30,13:30,,MA,3rC,
Dilluns,12:30,13:30,,AP,3rD,
Dilluns,12:30,13:30,,JC,4tA,
Dilluns,12:30,13:30,,DP,4tB,
Dilluns,12:30,13:30,,LM,4tC,
Dilluns,13:30,14:30,,R,1rA,
Dilluns,13:30,14:30,,JT,1rB,
Dilluns,13:30,14:30,,S,1rC,
Dilluns,13:30,14:30,,PF,2nA,
Dilluns,13:30,14:30,,JM,2nB,
Dilluns,13:30,14:30,,F,2nC,
Dilluns,13:30,14:30,,JC,3rA,
Dilluns,13:30,14:30,,MV,3rB,
Dilluns,13:30,14:30,,MS,3rC,
Dilluns,13:30,14:30,,LA,3rD,
Dilluns,13:30,14:30,,AF,4tA,
Dilluns,13:30,14:30,,AN,4tB,
Dilluns,13:30,14:30,,NM,4tC,
Dimarts,8:00,9:00,,S,1rA,
Dimarts,8:00,9:00,,A,1rB,
Dimarts,8:00,9:00,,MA,1rC,
Dimarts,8:00,9:00,,LC,2nA,
Dimarts,8:00,9:00,,MCY,2nB,
Dimarts,8:00,9:00,,MS,2nC,
Dimarts,8:00,9:00,,PF,3rA,
Dimarts,8:00,9:00,,IM,3rB,
Dimarts,8:00,9:00,,MV,3rC,
Dimarts,8:00,9:00,,CM,3rD,
Dimarts,8:00,9:00,,AF,4tA,
Dimarts,8:00,9:00,,AN,4tB,
Dimarts,8:00,9:00,,NM,4tC,
Dimarts,9:00,10:00,,S,1rA,
Dimarts,9:00,10:00,,A,1rB,
Dimarts,9:00,10:00,,MA,1rC,
Dimarts,9:00,10:00,,LA,2nA,
Dimarts,9:00,10:00,,LC,2nB,
Dimarts,9:00,10:00,,MS,2nC,
Dimarts,9:00,10:00,,IM,3rA,
Dimarts,9:00,10:00,,LM,3rB,
Dimarts,9:00,10:00,,CM,3rC,
Dimarts,9:00,10:00,,PF,3rD,
Dimarts,9:00,10:00,,AF,4tA,
Dimarts,9:00,10:00,,AN,4tB,
Dimarts,9:00,10:00,,NM,4tC,
Dimarts,10:00,11:00,,CM,1rA,
Dimarts,10:00,11:00,,MCY,1rB,
Dimarts,10:00,11:00,,S,1rC,
Dimarts,10:00,11:00,,AN,2nA,
Dimarts,10:00,11:00,,JM,2nB,
Dimarts,10:00,11:00,,NM,2nC,
Dimarts,10:00,11:00,,L,3rA,
Dimarts,10:00,11:00,,A,3rB,
Dimarts,10:00,11:00,,MA,3rC,
Dimarts,10:00,11:00,,AP,3rD,
Dimarts,10:00,11:00,,LM,4tA,
Dimarts,10:00,11:00,,JC,4tB,
Dimarts,10:00,11:00,,MV,4tC,
Dimarts,11:00,11:30,,JC,1rA,
Dimarts,11:30,12:30,,S,1rA,
Dimarts,11:30,12:30,,JT,1rB,
Dimarts,11:30,12:30,,R,1rC,
Dimarts,11:30,12:30,,AN,2nA,
Dimarts,11:30,12:30,,JM,2nB,
Dimarts,11:30,12:30,,NM,2nC,
Dimarts,11:30,12:30,,L,3rA,
Dimarts,11:30,12:30,,A,3rB,
Dimarts,11:30,12:30,,MA,3rC,
Dimarts,11:30,12:30,,AP,3rD,
Dimarts,11:30,12:30,,MÇ,4tA,
Dimarts,11:30,12:30,,IM,4tB,
Dimarts,11:30,12:30,,LM,4tC,
Dimarts,12:30,13:30,,MCY,1rA,
Dimarts,12:30,13:30,,LC(1ri3r) CM(2n),1rB,
Dimarts,12:30,13:30,,PF,1rC,
Dimarts,12:30,13:30,,MS,2nA,
Dimarts,12:30,13:30,,AF,2nB,
Dimarts,12:30,13:30,,LA,2nC,
Dimarts,12:30,13:30,,F,3rA,
Dimarts,12:30,13:30,,MV,3rB,
