diaSemana,horaInici,horaFi,materia,professorId,grupId,aulaId
2,8:00,9:00,,MCY,1A,
3,8:00,9:00,,CM,1B,
4,8:00,9:00,,JC,1C,
5,8:00,9:00,,AF,2A,
1,8:00,9:00,,LA,2B,
3,8:00,9:00,,MS,2C,
4,8:00,9:00,,LM,3A,
5,8:00,9:00,,F,3B,
1,8:00,9:00,,R,3C,
2,8:00,9:00,,AP,3rD,
3,8:00,9:00,,IZ,4tA,
4,8:00,9:00,,IM,4tB,
5,8:00,9:00,,BR,4tC,
1,9:00,10:00,,AF,1A,
3,9:00,10:00,,LA,1B,
4,9:00,10:00,,R,1C,
5,9:00,10:00,,AN,2A,
1,9:00,10:00,,JM,2B,
3,9:00,10:00,,MS,2C,
5,9:00,10:00,,NM,3A,
3,9:00,10:00,,BR,3B,
5,9:00,10:00,,IZ,3C,
3,9:00,10:00,,MV,3rD,
3,9:00,10:00,,L,4tA,
3,9:00,10:00,,MÇ,4tB,
4,9:00,10:00,,AP,4tC,
5,10:00,11:00,,AF,1A,
1,10:00,11:00,,LA,1B,
2,10:00,11:00,,R,1C,
3,10:00,11:00,,AN,2A,
4,10:00,11:00,,JM,2B,
2,10:00,11:00,,MS,2C,
3,10:00,11:00,,NM,3A,
4,10:00,11:00,,BR,3B,
5,10:00,11:00,,IZ,3C,
1,10:00,11:00,,MV,3rD,
2,10:00,11:00,,L,4tA,
4,10:00,11:00,,MÇ,4tB,
5,10:00,11:00,,AP,4tC,
1,11:00,11:30,,JC,1A,
4,11:30,12:30,,S,1A,
5,11:30,12:30,,CM,1B,
1,11:30,12:30,,PF,1C,
4,11:30,12:30,,F,2A,
5,11:30,12:30,,JM,2B,
3,11:30,12:30,,LA,2C,
3,11:30,12:30,,JC,3A,
3,11:30,12:30,,R,3B,
5,11:30,12:30,,LM,3C,
1,11:30,12:30,,MV,3rD,
2,11:30,12:30,,DP,4tA,
3,11:30,12:30,,IZ,4tB,
2,11:30,12:30,,MÇ,4tC,
3,12:30,13:30,,CM,1A,
4,12:30,13:30,,LA,1B,
5,12:30,13:30,,MCY,1C,
1,12:30,13:30,,AN,2A,
2,12:30,13:30,,JM,2B,
3,12:30,13:30,,NM,2C,
4,12:30,13:30,,L,3A,
1,12:30,13:30,,A,3B,
3,12:30,13:30,,MA,3C,
4,12:30,13:30,,AP,3rD,
5,12:30,13:30,,JC,4tA,
1,12:30,13:30,,DP,4tB,
4,12:30,13:30,,LM,4tC,
5,13:30,14:30,,R,1A,
3,13:30,14:30,,JT,1B,
3,13:30,14:30,,S,1C,
1,13:30,14:30,,LA,2A,
2,13:30,14:30,,JM,2B,
3,13:30,14:30,,F,2C,
4,13:30,14:30,,JC,3A,
5,13:30,14:30,,MV,3B,
1,13:30,14:30,,MS,3C,
2,13:30,14:30,,PF,3rD,
3,13:30,14:30,,AF,4tA,
4,13:30,14:30,,AN,4tB,
5,13:30,14:30,,NM,4tC,
1,8:00,9:00,,MCY,1A,
2,8:00,9:00,,LA,1B,
3,8:00,9:00,,JC,1C,
4,8:00,9:00,,AF,2A,
5,8:00,9:00,,CM,2B,
1,8:00,9:00,,MS,2C,
1,8:00,9:00,,IZ,3A,
3,8:00,9:00,,BR,3B,
4,8:00,9:00,,R,3C,
5,8:00,9:00,,AP,3rD,
1,8:00,9:00,,LM,4tA,
2,8:00,9:00,,IM,4tB,
3,8:00,9:00,,F,4tC,
4,9:00,10:00,,AF,1A,
5,9:00,10:00,,LA,1B,
1,9:00,10:00,,R,1C,
2,9:00,10:00,,AN,2A,
3,9:00,10:00,,JM,2B,
4,9:00,10:00,,MS,2C,
5,9:00,10:00,,NM,3A,
1,9:00,10:00,,BR,3B,
3,9:00,10:00,,IZ,3C,
4,9:00,10:00,,MV,3rD,
5,9:00,10:00,,MJ,4tA,
1,9:00,10:00,,MÇ,4tB,
3,9:00,10:00,,AP,4tC,
1,10:00,11:00,,AF,1A,
3,10:00,11:00,,LA,1B,
1,10:00,11:00,,R,1C,
2,10:00,11:00,,AN,2A,
3,10:00,11:00,,JM,2B,
4,10:00,11:00,,MS,2C,
5,10:00,11:00,,NM,3A,
1,10:00,11:00,,BR,3B,
2,10:00,11:00,,IZ,3C,
3,10:00,11:00,,MV,3rD,
4,10:00,11:00,,MJ,4tA,
5,10:00,11:00,,MÇ,4tB,
1,10:00,11:00,,AP,4tC,
2,11:30,12:30,,S,1A,
3,11:30,12:30,,CM,1B,
4,11:30,12:30,,LA,1C,
5,11:30,12:30,,F,2A,
1,11:30,12:30,,JM,2B,
1,11:30,12:30,,PF,2C,
3,11:30,12:30,,JC,3A,
4,11:30,12:30,,R,3B,
5,11:30,12:30,,IZ,3C,
1,11:30,12:30,,MV,3rD,
2,11:30,12:30,,DP,4tA,
3,11:30,12:30,,LM,4tB,
4,11:30,12:30,,MÇ,4tC,
5,12:30,13:30,,IZ,1A,
1,12:30,13:30,,LA,1B,
2,12:30,13:30,,MCY,1C,
3,12:30,13:30,,AN,2A,
4,12:30,13:30,,JM,2B,
5,12:30,13:30,,NM,2C,
1,12:30,13:30,,MJ,3A,
3,12:30,13:30,,A,3B,
4,12:30,13:30,,MA,3C,
5,12:30,13:30,,AP,3rD,
1,12:30,13:30,,JC,4tA,
3,12:30,13:30,,DP,4tB,
1,12:30,13:30,,LM,4tC,
3,13:30,14:30,,R,1A,
5,13:30,14:30,,JT,1B,
5,13:30,14:30,,S,1C,
5,13:30,14:30,,PF,2A,
5,13:30,14:30,,JM,2B,
5,13:30,14:30,,F,2C,
2,13:30,14:30,,JC,3A,
3,13:30,14:30,,MV,3B,
4,13:30,14:30,,MS,3C,
5,13:30,14:30,,LA,3rD,
2,13:30,14:30,,AF,4tA,
3,13:30,14:30,,AN,4tB,
4,13:30,14:30,,NM,4tC,
2,8:00,9:00,,S,1A,
3,8:00,9:00,,A,1B,
2,8:00,9:00,,MA,1C,
3,8:00,9:00,,LC,2A,
4,8:00,9:00,,MCY,2B,
5,8:00,9:00,,MS,2C,
1,8:00,9:00,,PF,3A,
